# energy,k_k,kS_kL,pi_pi_pi0,eta_a,pi0_a,e_e,mu_mu,pi_pi,omega_pi0,etap_a
1.237482177801850e+01,1.623345887398617e-03,1.363605473667309e-03,6.519310188829626e-04,8.868081774549502e-06,5.209571029990912e-06,1.544299120345461e-06,1.081330393516030e-06,2.561894594473106e-07,1.325949642130529e-07,0.000000000000000e+00
1.260535221220096e+01,1.587257229178963e-03,1.332676271685333e-03,7.011996066640418e-04,8.711443328363999e-06,5.209571029990912e-06,1.515321660630266e-06,1.059548720817784e-06,2.509068979246495e-07,1.332551455050286e-07,0.000000000000000e+00
1.284017719559290e+01,1.551919699393059e-03,1.302265473414521e-03,6.916090509113938e-04,8.624772792140453e-06,5.209571029990912e-06,1.486874492031614e-06,1.038177884301419e-06,2.457251187135286e-07,1.344395113553453e-07,0.000000000000000e+00
1.307937673130966e+01,1.517293458648388e-03,1.272574532898900e-03,7.465839927188677e-04,8.612841483570797e-06,5.209571029990912e-06,1.458947922789601e-06,1.017210357994998e-06,2.406422722972267e-07,1.357229770630299e-07,0.000000000000000e+00
1.332303231284382e+01,1.483267645448461e-03,1.243406563403051e-03,7.373627852832209e-04,8.676065786770477e-06,5.209571029990912e-06,1.431532438507773e-06,9.966387533519415e-07,2.356565363538611e-07,1.374263102476984e-07,0.000000000000000e+00
1.357122695182944e+01,1.449954445641018e-03,1.214730121882523e-03,7.283214002630869e-04,8.816244206767369e-06,5.209571029990912e-06,1.404618698911598e-06,9.764558167345632e-07,2.307661420763413e-07,1.398153291725403e-07,0.000000000000000e+00
1.382404520632352e+01,1.417315189253865e-03,1.186735633943214e-03,7.881872308940619e-04,9.040395038511907e-06,5.209571029990912e-06,1.378197534666274e-06,9.566544269435930e-07,2.259693218594846e-07,1.429180425714483e-07,0.000000000000000e+00
1.408157320961424e+01,1.385245553962399e-03,1.159237099260184e-03,7.794960230956750e-04,9.371861952240131e-06,5.209571029990912e-06,1.352259944252772e-06,9.372275927928499e-07,2.212643772531873e-07,1.467493621490552e-07,0.000000000000000e+00
1.434389869956599e+01,1.353945726174158e-03,1.132204870098346e-03,8.425917639910156e-04,9.814639818816292e-06,5.209571029990912e-06,1.326797090901039e-06,9.181684507282383e-07,2.166496044625911e-07,1.510148958925765e-07,0.000000000000000e+00
1.461111104851099e+01,1.323721439986278e-03,1.105819075460735e-03,8.342384810332516e-04,1.036996445818831e-05,5.209571029990912e-06,1.301800299579347e-06,8.994702624902621e-07,2.121233476577245e-07,1.555345795708081e-07,0.000000000000000e+00
1.488330129369775e+01,1.294911328317904e-03,1.079903866079365e-03,8.997286710245114e-04,1.103980201552906e-05,5.209571029990912e-06,1.277261054038725e-06,8.811264128192499e-07,2.076840022351933e-07,1.603247419154062e-07,0.000000000000000e+00
1.516056216830679e+01,1.267719874223104e-03,1.054431290389627e-03,8.917014515249632e-04,1.182940980179239e-05,5.209571029990912e-06,1.253170993911499e-06,8.631304072025245e-07,2.033299381040312e-07,1.652807919341603e-07,0.000000000000000e+00
