# energy,k_k,kS_kL,pi_pi_pi0,eta_a,pi0_a,e_e,mu_mu,pi_pi,omega_pi0,etap_a
1.480633540953436e+00,1.783625557865884e-04,1.230832783401820e-04,6.036335178513592e-05,9.592819103965496e-07,0.000000000000000e+00,0.000000000000000e+00,2.042901690146291e-07,4.207757500567793e-08,1.346861340729388e-08,0.000000000000000e+00
1.501232443356553e+00,1.835474218227342e-04,1.266863667901807e-04,6.210846391124431e-05,9.873578819108381e-07,0.000000000000000e+00,0.000000000000000e+00,2.099966044344921e-07,4.327142120886327e-08,1.386129926715050e-08,0.000000000000000e+00
1.522117922261198e+00,1.888700545745141e-04,1.303864972846723e-04,6.389951783059376e-05,1.016188947986357e-06,0.000000000000000e+00,0.000000000000000e+00,2.158439313623055e-07,4.449563935607513e-08,1.426447707655090e-08,0.000000000000000e+00
1.543293964583260e+00,1.943340509232593e-04,1.341862489018928e-04,6.573769403132258e-05,1.045795197231603e-06,0.000000000000000e+00,0.000000000000000e+00,2.218353661390540e-07,4.575096413990630e-08,1.467842306044482e-08,0.000000000000000e+00
1.564764612705481e+00,1.999430958516168e-04,1.380882661977654e-04,6.762420102436949e-05,1.076197232400678e-06,0.000000000000000e+00,0.000000000000000e+00,2.279741824617282e-07,4.703814554314682e-08,1.510342034167390e-08,0.000000000000000e+00
1.586533965249133e+00,2.057009623390719e-04,1.420952607990928e-04,6.956027593812201e-05,1.107416178158960e-06,0.000000000000000e+00,0.000000000000000e+00,2.342637116884782e-07,4.835794906001768e-08,1.553975907489473e-08,0.000000000000000e+00
1.608606177856415e+00,2.116115157257455e-04,1.462100126699456e-04,7.154718512052081e-05,1.139473693699808e-06,0.000000000000000e+00,0.000000000000000e+00,2.407073430931735e-07,4.971115591401788e-08,1.598773661034264e-08,0.000000000000000e+00
1.630985463983742e+00,2.176787170770578e-04,1.504353710815576e-04,7.358622474851084e-05,1.172391985661255e-06,0.000000000000000e+00,0.000000000000000e+00,2.473085240656975e-07,5.109856327193572e-08,1.644765766054068e-08,0.000000000000000e+00
1.653676095706072e+00,2.239066237498178e-04,1.547742578857705e-04,7.567872144470713e-05,1.206193819921090e-06,0.000000000000000e+00,0.000000000000000e+00,2.540707602540949e-07,5.252098445354314e-08,1.691983446998125e-08,0.000000000000000e+00
1.676682404532415e+00,2.302993915264276e-04,1.592296693871362e-04,7.782603290112122e-05,1.240902525949002e-06,0.000000000000000e+00,0.000000000000000e+00,2.609976156444589e-07,5.397924913645915e-08,1.740458698780486e-08,0.000000000000000e+00
1.700008782232697e+00,2.368612767825232e-04,1.638046773641831e-04,8.002954850976894e-05,1.276542028610837e-06,0.000000000000000e+00,0.000000000000000e+00,2.680927125742100e-07,5.547420355563390e-08,1.790224304349839e-08,0.000000000000000e+00
1.723659681676123e+00,2.435966386880264e-04,1.685024309004888e-04,8.229068999995827e-05,1.313136856692048e-06,0.000000000000000e+00,0.000000000000000e+00,2.753597316741770e-07,5.700671069687076e-08,1.841313852563202e-08,0.000000000000000e+00
1.747639617681199e+00,2.505099493622793e-04,1.733261582168742e-04,8.461091208202637e-05,1.350712154633629e-06,0.000000000000000e+00,0.000000000000000e+00,2.828024117346269e-07,5.857765048376455e-08,1.893761756365109e-08,0.000000000000000e+00
1.771953167877593e+00,2.576058053025028e-04,1.782791674707929e-04,8.699170309727044e-05,1.389293697003678e-06,0.000000000000000e+00,0.000000000000000e+00,2.904245494901283e-07,6.018791995739669e-08,1.947603271273601e-08,0.000000000000000e+00
1.796604973579969e+00,2.648889000133715e-04,1.833648490987351e-04,8.943458567378600e-05,1.428907903246267e-06,0.000000000000000e+00,0.000000000000000e+00,2.982299993178443e-07,6.183843344808572e-08,2.002874514173932e-08,0.000000000000000e+00
