# energy,pi_pi_pi0,pi0_a,pi_pi,eta_a,e_e,mu_mu
1.660477185056506e+00,3.465340950957875e-04,0.000000000000000e+00,8.758945506039890e-06,3.757971204378543e-08,0.000000000000000e+00,5.268202597138779e-08
1.682610596434702e+00,3.560537623982791e-04,0.000000000000000e+00,8.995586687031448e-06,3.861946542621752e-08,0.000000000000000e+00,5.408669097505365e-08
1.705039036196091e+00,3.658167950379009e-04,0.000000000000000e+00,9.238103658999243e-06,3.968612178217958e-08,0.000000000000000e+00,5.552540306020972e-08
1.727766436935852e+00,3.758292869442870e-04,0.000000000000000e+00,9.486636372243177e-06,4.078036807415937e-08,0.000000000000000e+00,5.699893779741369e-08
1.750796783668884e+00,3.860974764267874e-04,0.000000000000000e+00,9.741327778006896e-06,4.190290812297132e-08,0.000000000000000e+00,5.850808575749395e-08
1.774134114528535e+00,3.966277493287784e-04,0.000000000000000e+00,1.000232387990118e-05,4.305446289908441e-08,0.000000000000000e+00,6.005365268768216e-08
1.797782521474647e+00,4.074266422350306e-04,0.000000000000000e+00,1.026977378546550e-05,4.423577105586167e-08,0.000000000000000e+00,6.163645968291680e-08
1.821746151011041e+00,4.185008457324120e-04,0.000000000000000e+00,1.054382975782465e-05,4.544758937649445e-08,0.000000000000000e+00,6.325734335182275e-08
1.846029204912561e+00,4.298572077241457e-04,0.000000000000000e+00,1.082464726739382e-05,4.669069312932189e-08,0.000000000000000e+00,6.491715597683998e-08
1.870635940961815e+00,4.415027367978020e-04,0.000000000000000e+00,1.111238504358211e-05,4.796587649503994e-08,0.000000000000000e+00,6.661676566794547e-08
1.895570673695729e+00,4.534446056471442e-04,0.000000000000000e+00,1.140720512644110e-05,4.927395300237868e-08,0.000000000000000e+00,6.835705650938026e-08
1.920837775162060e+00,4.656901545478903e-04,0.000000000000000e+00,1.170927291820079e-05,5.061575597236445e-08,0.000000000000000e+00,7.013892869875694e-08
1.946441675685989e+00,4.782468948874000e-04,0.000000000000000e+00,1.201875723463206e-05,5.199213897128199e-08,0.000000000000000e+00,7.196329867789261e-08
1.972386864646929e+00,4.911225127482211e-04,0.000000000000000e+00,1.233583035616959e-05,5.340397627244819e-08,0.000000000000000e+00,7.383109925467014e-08
1.998677891265699e+00,5.043248725453734e-04,0.000000000000000e+00,1.266066807872611e-05,5.485216332690828e-08,0.000000000000000e+00,7.574327971519637e-08
2.025319365402173e+00,5.178620207171629e-04,0.000000000000000e+00,1.299344976412289e-05,5.633761724316063e-08,0.000000000000000e+00,7.770080592548132e-08
2.052315958363579e+00,5.317421894692610e-04,0.000000000000000e+00,1.333435839005792e-05,5.786127727601593e-08,0.000000000000000e+00,7.970466042182486e-08
2.079672403723563e+00,5.459738005716762e-04,0.000000000000000e+00,1.368358059952699e-05,5.942410530577960e-08,0.000000000000000e+00,8.175584248904782e-08
2.107393498152167e+00,5.605654692081906e-04,0.000000000000000e+00,1.404130674960867e-05,6.102708620005338e-08,0.000000000000000e+00,8.385536822566345e-08
2.135484102256883e+00,5.755260078777165e-04,0.000000000000000e+00,1.440773095951786e-05,6.267122861283993e-08,0.000000000000000e+00,8.600427059503246e-08
2.163949141434907e+00,5.908644303469444e-04,0.000000000000000e+00,1.478305115782727e-05,6.435756543302668e-08,0.000000000000000e+00,8.820359946149633e-08
2.192793606736755e+00,6.065899556535510e-04,0.000000000000000e+00,1.516746912874979e-05,6.608715428060622e-08,0.000000000000000e+00,9.045442161043048e-08
2.222022555741393e+00,6.227120121591258e-04,0.000000000000000e+00,1.556119055736865e-05,6.786107805164898e-08,0.000000000000000e+00,9.275782075110305e-08
2.251641113443033e+00,6.392402416508581e-04,0.000000000000000e+00,1.596442507369530e-05,6.968044546998040e-08,0.000000000000000e+00,9.511489750116642e-08
2.281654473149748e+00,6.561845034909112e-04,0.000000000000000e+00,1.637738629542818e-05,7.154639165460934e-08,0.000000000000000e+00,9.752676935154930e-08
2.312067897394059e+00,6.735548788122732e-04,0.000000000000000e+00,1.680029186927788e-05,7.346007869473132e-08,0.000000000000000e+00,9.999457061045284e-08
2.342886718855675e+00,6.913616747597540e-04,0.000000000000000e+00,1.723336351071706e-05,7.542269623465012e-08,0.000000000000000e+00,1.025194523250879e-07
2.374116341296514e+00,7.096154287746325e-04,0.000000000000000e+00,1.767682704200461e-05,7.743546206868220e-08,0.000000000000000e+00,1.051025821797210e-07
2.405762240508206e+00,7.283269129213311e-04,0.000000000000000e+00,1.813091242832611e-05,7.949962274608505e-08,0.000000000000000e+00,1.077451443685248e-07
2.437829965272209e+00,7.475071382543172e-04,0.000000000000000e+00,1.859585381188275e-05,8.161645418604221e-08,0.000000000000000e+00,1.104483394416524e-07
