# energy,dnde
2.733487119752944e+01,5.906963441870124e-03
2.769866784811198e+01,5.904324744654027e-03
2.806730622639168e+01,5.901661777362099e-03
2.844085077036446e+01,5.898848935943313e-03
2.881936677562414e+01,5.895982385410926e-03
2.920292040677607e+01,5.893081282396581e-03
2.959157870900264e+01,5.890079215901872e-03
2.998540961978293e+01,5.886847844741060e-03
3.038448198076807e+01,5.883865422107148e-03
3.078886554981478e+01,5.880673700296871e-03
3.119863101317907e+01,5.877317063363635e-03
3.161384999787219e+01,5.873894030034199e-03
3.203459508418101e+01,5.870437560088182e-03
3.246093981835507e+01,5.866861360651088e-03
3.289295872546251e+01,5.863193650238398e-03
3.333072732241700e+01,5.859433144830313e-03
3.377432213117802e+01,5.855575703539929e-03
