# energy,pi_pi_pi0,pi_pi,mu_mu
9.927731760177396e-01,2.617889792624107e-04,6.632954291853954e-06,3.996967945537759e-08
1.011267537828962e+00,2.713826823445959e-04,6.872378210496794e-06,4.139528865052949e-08
1.030106430925946e+00,2.813228732703188e-04,7.120235843209822e-06,4.287009824728502e-08
1.049296273578656e+00,2.916217684942130e-04,7.376811897124512e-06,4.439570736567513e-08
1.068843603622940e+00,3.022919975701818e-04,7.642399938670279e-06,4.597376096656571e-08
1.088755080687928e+00,3.133466160498915e-04,7.917302621563680e-06,4.760595076167468e-08
1.109037488464917e+00,3.247991187162275e-04,8.201831917383570e-06,4.929401611147520e-08
1.129697737018523e+00,3.366634531557630e-04,8.496309348488650e-06,5.103974490789146e-08
1.150742865140887e+00,3.489540336739603e-04,8.801066223005179e-06,5.284497443842728e-08
1.172180042749740e+00,3.616857555564415e-04,9.116443871581840e-06,5.471159222808162e-08
1.194016573331143e+00,3.748740096792613e-04,9.442793885575745e-06,5.664153685510151e-08
1.216259896427724e+00,3.885346974706346e-04,9.780478356297993e-06,5.863679873629611e-08
1.238917590173280e+00,4.026842462260695e-04,1.012987011490895e-05,6.069942087728774e-08
1.261997373874590e+00,4.173396247782820e-04,1.049135297251243e-05,6.283149958270368e-08
1.285507110641321e+00,4.325183595226406e-04,1.086532195995405e-05,6.503518512091509e-08
1.309454810064934e+00,4.482385507982074e-04,1.125218356678168e-05,6.731268233750592e-08
1.333848630947493e+00,4.645188896236805e-04,1.165235597877531e-05,6.966625121120083e-08
1.358696884081304e+00,4.813786747867120e-04,1.206626931339955e-05,7.209820734549914e-08
1.384008035080342e+00,4.988378302841916e-04,1.249436585247382e-05,7.461092238874658e-08
1.409790707264422e+00,5.169169231100704e-04,1.293710027129301e-05,7.720682437482590e-08
1.436053684597103e+00,5.356371813862563e-04,1.339493986336488e-05,7.988839797606319e-08
1.462805914678310e+00,5.550205128309178e-04,1.386836475985940e-05,8.265818465932075e-08
1.490056511792723e+00,5.750895235572866e-04,1.435786814278875e-05,8.551878273558296e-08
